S.No,Symbol
1,360ONE
2,ABB
3,APLAPOLLO
4,AUBANK
5,ADANIENSOL
6,ADANIENT
7,ADANIGREEN
8,ADANIPORTS
9,ABCAPITAL
10,ALKEM
11,AMBER
12,AMBUJACEM
13,ANGELONE
14,APOLLOHOSP
15,ASHOKLEY
16,ASIANPAINT
17,ASTRAL
18,AUROPHARMA
19,DMART
20,AXISBANK
21,BSE
22,BAJAJ-AUTO
23,BAJFINANCE
24,BAJAJFINSV
25,BANDHANBNK
26,BANKBARODA
27,BANKINDIA
28,BDL
29,BEL
30,BHARATFORG
31,BHEL
32,BPCL
33,BHARTIARTL
34,BIOCON
35,BLUESTARCO
36,BOSCHLTD
37,BRITANNIA
38,CGPOWER
39,CANBK
40,CDSL
41,CHOLAFIN
42,CIPLA
43,COALINDIA
44,COFORGE
45,COLPAL
46,CAMS
47,CONCOR
48,CROMPTON
49,CUMMINSIND
50,CYIENT
51,DLF
52,DABUR
53,DALBHARAT
54,DELHIVERY
55,DIVISLAB
56,DIXON
57,DRREDDY
58,ETERNAL
59,EICHERMOT
60,EXIDEIND
61,NYKAA
62,FORTIS
63,GAIL
64,GMRAIRPORT
65,GLENMARK
66,GODREJCP
67,GODREJPROP
68,GRASIM
69,HCLTECH
70,HDFCAMC
71,HDFCBANK
72,HDFCLIFE
73,HFCL
74,HAVELLS
75,HEROMOTOCO
76,HINDALCO
77,HAL
78,HINDPETRO
79,HINDUNILVR
80,HINDZINC
81,POWERINDIA
82,HUDCO
83,ICICIBANK
84,ICICIGI
85,ICICIPRULI
86,IDFCFIRSTB
87,IIFL
88,ITC
89,INDIANB
90,IEX
91,IOC
92,IRCTC
93,IRFC
94,IREDA
95,INDUSTOWER
96,INDUSINDBK
97,NAUKRI
98,INFY
99,INOXWIND
100,INDIGO
101,JINDALSTEL
102,JSWENERGY
103,JSWSTEEL
104,JIOFIN
105,JUBLFOOD
106,KEI
107,KPITTECH
108,KALYANKJIL
109,KAYNES
110,KFINTECH
111,KOTAKBANK
112,LTF
113,LICHSGFIN
114,LTIM
115,LT
116,LAURUSLABS
117,LICI
118,LODHA
119,LUPIN
120,M&M
121,MANAPPURAM
122,MANKIND
123,MARICO
124,MARUTI
125,MFSL
126,MAXHEALTH
127,MAZDOCK
128,MPHASIS
129,MCX
130,MUTHOOTFIN
131,NBCC
132,NCC
133,NHPC
134,NMDC
135,NTPC
136,NATIONALUM
137,NESTLEIND
138,NUVAMA
139,OBEROIRLTY
140,ONGC
141,OIL
142,PAYTM
143,OFSS
144,POLICYBZR
145,PGEL
146,PIIND
147,PNBHOUSING
148,PAGEIND
149,PATANJALI
150,PERSISTENT
151,PETRONET
152,PIDILITIND
153,PPLPHARMA
154,POLYCAB
155,PFC
156,POWERGRID
157,PRESTIGE
158,PNB
159,RBLBANK
160,RECLTD
161,RVNL
162,RELIANCE
163,SBICARD
164,SBILIFE
165,SHREECEM
166,SRF
167,SAMMAANCAP
168,MOTHERSON
169,SHRIRAMFIN
170,SIEMENS
171,SOLARINDS
172,SONACOMS
173,SBIN
174,SAIL
175,SUNPHARMA
176,SUPREMEIND
177,SUZLON
178,SYNGENE
179,TATACONSUM
180,TITAGARH
181,TVSMOTOR
182,TCS
183,TATAELXSI
184,TMPV
185,TATAPOWER
186,TATASTEEL
187,TATATECH
188,TECHM
189,FEDERALBNK
190,INDHOTEL
191,PHOENIXLTD
192,TITAN
193,TORNTPHARM
194,TORNTPOWER
195,TRENT
196,TIINDIA
197,UNOMINDA
198,UPL
199,ULTRACEMCO
200,UNIONBANK
201,UNITDSPR
202,VBL
203,VEDL
204,IDEA
205,VOLTAS
206,WIPRO
207,YESBANK
208,ZYDUSLIFE
209,ADANIPOWER
210,HYUNDAI
211,BAJAJHLDNG
212,IDBI
213,WAAREEENER
214,BAJAJHFL
215,COROMANDEL
216,JSL
217,IOB
218,MRF
219,GICRE
220,HDBFS
221,JSWINFRA
222,ABBOTINDIA
223,SUNDARMFIN
224,MOTILALOFS
225,AIIL
226,LTTS
227,HEXT
228,BALKRISIND
229,MAHABANK
230,GODFRYPHLP
231,ESCORTS
232,PREMIERENE
233,AIAENG
234,UCOBANK
235,IPCALAB
236,APARINDS
237,NCLIND
238,AJANTPHARM
239,GODREJIND
240,CENTRALBK
241,ACC
242,APOLLOTYRE
243,KPRMILL
244,AWL
245,TVSHLTD
246,JBCHEPHARM
247,GLAND
248,IGL
249,GUJGASLTD
250,EMCURE
251,AEGISLOG
252,MRPL
253,IRB
254,NIACL
255,FSL
256,SAGILITY
257,HBLENGINE
258,FORCEMOT
259,HSCL
260,KARURVYSYA
261,PFIZER
262,SHYAMMETL
263,EIHOTEL
264,ECLERX
265,EMAMILTD
266,SUNTV
267,ABSLAMC
268,CESC
269,REDINGTON
270,BRIGADE
271,CUB
272,WELCORP
273,AADHARHFC
274,BAYERCROP
275,TENNIND
276,KALPATARU
277,SUNDRMFAST
278,KEC
279,DCMSHRIRAM
280,CHALET
281,PSB
282,CHAMBLFERT
283,EIDPARRY
284,SARDAEN
285,KIRLOSENG
286,KANSAINER
287,CASTROLIND
288,ATUL
289,GMDCLTD
290,CGCL
291,GPIL
292,JUBLPHARMA
293,ARE&M
294,ALEMBICLTD
295,ZENSARTECH
296,GSPL
297,PARADEEP
298,FIVESTAR
299,VINATIORGA
300,NATCOPHARM
301,RATNAMANI
302,IRCON
303,NAVA
304,GESHIP
305,KAJARIACER
306,CEATLTD
307,BELRISE
308,CIEINDIA
309,GRANULES
310,CAPLIPOINT
311,ELGIEQUIP
312,UTIAMC
313,SWANCORP
314,ACMESOLAR
315,AKZOINDIA
316,IFCI
317,IGIL
318,AFCONS
319,MANYAVAR
320,APTUS
321,INTELLECT
322,CEMPRO
323,SHRIPISTON
324,JKTYRE
325,JMFINANCIL
326,USHAMART
327,LTFOODS
328,TRIDENT
329,GRAVITA
330,INDIAMART
331,BLS
332,BBTC
333,WELSPUNLIV
334,TECHNOE
335,KIRLOSBROS
336,CCL
337,VTL
338,EMMVEE
339,FINEORG
340,GALLANTT
341,INDGN
342,BSOFT
343,CANFINHOME
344,SPLPETRO
345,CELLO
346,JPPOWER
347,PCBL
348,BLACKBUCK
349,NEWGEN
350,AAVAS
351,HOMEFIRST
352,SBFC
353,FINCABLES
354,RITES
355,ACE
356,RAILTEL
357,SANDUMA
358,JUBLINGREA
359,ENGINERSIN
360,AVANTIFEED
361,MGL
362,ALIVUS
363,ELECON
